url,country_code,scope_hint,canonical_url,crawler_path,priority,notes
https://arthurbreur.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0220; musicbrainz_ids=ada0e658-a4dd-4c9e-ac49-9e2e21c080c1; entities=Arthur Breur; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.arthurbreur.com/
https://askellmasson.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0238; musicbrainz_ids=aa672ff1-9b0e-451d-8cb2-ab1ca9cc8e39; entities=Áskell Másson; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.askellmasson.com/calendar
https://avdeevapiano.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0253; musicbrainz_ids=27f2a3ad-ec20-4907-adba-666059f0ea90; entities=Юлианна Авдеева; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.avdeevapiano.com/calendar/
https://azamali.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0259; musicbrainz_ids=347aafad-0d39-4046-8455-21da93854943; entities=Azam Ali; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.azamali.com/tour
https://babettecraens.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0262; musicbrainz_ids=5154baaf-cb00-4aa5-8364-11b4268a7649; entities=Babette Craens; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.babettecraens.com/agenda
https://barisdemirezer.com.tr/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0279; musicbrainz_ids=41a04507-b446-4ddb-9983-7877fe5202e0; entities=Barış Demirezer; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.barisdemirezer.com.tr/concerts/
https://barrydouglas.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0286; musicbrainz_ids=03680659-df39-4baf-91c4-df0204c6e22f; entities=Barry Douglas; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=http://barrydouglas.com/on-tour/
https://bartvanoort.nl/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0288; musicbrainz_ids=cd8ccf3a-59e8-44b4-90fd-fbae8f1cc847; entities=Bart van Oort; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=http://www.bartvanoort.nl/Bart-van-Oort/en-GB/calendar/archive.aspx
https://beneathatree-baroquetofolk.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0310; musicbrainz_ids=be38e16a-1f35-4458-8b75-8080078c4362; entities=Beneath a Tree; entity_types=Group; calendar_status=current_events; review_confidence=high; evidence=https://www.beneathatree-baroquetofolk.com/concerts
https://benjamingrosvenor.co.uk/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0313; musicbrainz_ids=7f2ad202-fc55-4f68-aa7c-25cb2049100e; entities=Benjamin Grosvenor; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.benjamingrosvenor.co.uk/calendar
https://benjaminhochman.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0314; musicbrainz_ids=16e4c1b1-90bf-474b-bffa-383a7081363c; entities=Benjamin Hochman; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.benjaminhochman.com/calendar
https://benjaminlees.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0315; musicbrainz_ids=e6ac4620-63cc-4dea-a25e-1d0c0a8e5a96; entities=Benjamin Lees; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=
